PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Details sub-route,Size_(nm),Size details,Zeta_Potential_(mV),Shape,Coating,Coating details,Loading,Loading details,Core /NPs  or vesicles,Core (details),Dose_(mg/kg),Dose_other data,IC50 ,Delivery_Efficiency_(%ID/g),Distribution Half-life_(h),Elimination Half-life_(h),Tumor_model,Cancer_type,No._Days_dosing,Tumor_Vol_Reduction_(%),Off_target_1_accumulation_(%),Off_target_2_accumulation_(%),Off_target_3_accumulation_(%),Off_target_1_accumulation,Off_target_2_accumulation,Off_target_3_accumulation,Combined therapies ,Detail Combined strategy,Study strategy,Detail study strategy,Imaging,Treated tumor,Control tumor,Tumor_Reduction_(%),Muscle,Heart,Liver,Spleen,Lung,Brain,Kidney,Bladder,Skin,Colon,Tumor,Ratio - Muscle,Ratio - Heart,Ratio - Liver,Ratio - Spleen,Ratio - Lung,Ratio - Brain,Ratio - Kidney,Ratio - Bladder,Ratio - Skin,Ratio - Colon
24120046,Biomaterials,2014,10.1016/j.biomaterials.2013.09.079,Inorganic,Iron_oxide,Systemic,IV,,No info,,-47,Plate,Polymer,Lac-Gly-coated SPION + PDDA,,,Other,Carbon Nanotubes,10,,No info,No info,No info,No info,Allograft orthotopic,Colon,1,#DIV/0!,,,,,,,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
20738120,ACS Nano,2010,10.1021/nn101016f,Inorganic,Iron_oxide,Local,Intratumoral,,55,,No info,Spherical,None,,Other,IO + Alkyl-terminated SiQDs,Other,Micelles - DSPE-PEG 2000,,150-200 UL,No info,No info,No info,No info,Xenograft heterotopic,Prostate,1,#DIV/0!,,,,,,,,,Diagnostic,,Luminescence,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32028168,Biomaterials,2020,10.1016/j.biomaterials.2020.119805,Inorganic,Iron_oxide,Systemic,IV,,30,,No info,Spherical,Glycosides,semi-synthetic low molecular weight carbohydrate shell,,,Iron oxide,Ferumoxytol,,0.5 mmol/kg dose of Fe,No info,No info,No info,No info,Allograft heterotopic,Skin,1,#DIV/0!,,,,,,,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
23246062,Biomaterials,2013,10.1016/j.biomaterials.2012.11.054,Inorganic,Iron_oxide,Systemic,IV,,11 nm - IO,,No info,Other,Other,Mn(CH3CO2)2 + OA ,,,Iron oxide,IO/MnO hybrid nanocrystals,,"5 mg of Mn and 1,2 mg of Fe per kg",No info,No info,No info,No info,Xenograft orthotopic,Liver,1,#DIV/0!,,,,,,,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
18500805,J Am Chem Soc,2008,10.1021/ja802003h,Inorganic,Iron_oxide,Systemic,IV,,8.4,,No info,Spherical,Peptide,c(RGDyD),,,Iron oxide,,15,,23 nM,No info,No info,No info,No tumor model - Healthy animals,,1,#DIV/0!,,,,,,,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32077633,Small,2020,10.1002/smll.201904960,Inorganic,Iron_oxide,Systemic,IV,,35.8,,No info,Star,Polymer,Gold Branched shell + PEG,,,Iron oxide,Janus NPs,11.8,1.3 mg Fe/kg and 10.5 mg/kg,No info,No info,No info,No info,Allograft heterotopic,Colon,1,73.94736842,,,,,,,Laser irradiation + Magnetic field,Magnet + Laser (PTT),Therapy,,None,0.99,3.8,73.94736842,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
26540558,Nanoscale,2015,10.1039/c5nr06192j,Inorganic,Iron_oxide,Local,Intratumoral,,100,,No info,Spherical,Polymer, PAA grafted IO+ Au25(Capt)18 ,,,Other, Zn(NO3)2,,0.1 mL per mouse,No info,No info,No info,No info,Allograft heterotopic,Liver,8,83.95550044,,,,,,,Laser irradiation + Magnetic field,Magnet + NIR irradiation (PDT +PTT) ,Therapy,,None,437.28,2725.42,83.95550044,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
31904049,Nanoscale,2020,10.1039/c9nr09235h,Inorganic,Iron_oxide,Systemic,IV,,139.72,,No info,Spherical,Nucleic acid,Carboxyl-decorated IOs + probe,,,Iron oxide,,,10 mg Fe/Kg,No info,No info,No info,No info,Xenograft heterotopic,Breast,1,97.66775572,,,,,,,Laser irradiation,PTT,Theragnostics,,MR imaging,23.2,994.75,97.66775572,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
26035730,ACS Nano,2015,10.1021/nn5068094,Inorganic,Iron_oxide,Systemic,IV,,218,,18.7,Spherical,None,,Proteins,SPION + CAT/SOD enxymes,Polymer,Glycol chitosan + Acryl + Biotion - Nanogel,4,,No info,No info,No info,No info,Xenograft orthotopic,Liver,1,#DIV/0!,692.2682813,215.3702841,38.47228691,Spleen,Lung,Kidney,,,Diagnostic,,MRI + Ultrasound imaging,,,#DIV/0!,,6.33,36.19,148.63,46.24,,8.26,,,,21.47,0,29.48299953,168.5607825,692.2682813,215.3702841,0,38.47228691,0,0,0
32200104,Biomaterials,2020,10.1016/j.biomaterials.2020.119979,Inorganic,Iron_oxide,Systemic,IV,,153.7,,No info,Spherical,None,,Drugs,PAA coated IO + DOX (USD complexes),Polymer,Amphiphilic triblock copolymers vesicles,,4 mg DOX/Kg,"0,237 uM",No info,No info,No info,Xenograft heterotopic,Colon,4,81.1281136,,,,,,,Chemotherapy,,Theragnostics,,MR imaging,7.19,38.099,81.1281136,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
18551493,Angew Chem Int Ed Engl,2008,10.1002/anie.200800857,Inorganic,Iron_oxide,Systemic,IV,,21,,-25,Spherical,Polymer-Drugs,Polymer + DOX + PEG,,,Iron oxide,Core-shell NPs,,"12,5 mg Fe/kG + 0.64 mg Dox/kg",No info,No info,No info,No info,Allograft heterotopic,Lung,6,64.15101721,,,,Liver,Kideny,Lung,Chemotherapy,,Theragnostics,,MR imaging,788.018,2198.16,64.15101721,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
23519915,Angew Chem Int Ed Engl,2013,10.1002/anie.201207721,Inorganic,Iron_oxide,Systemic,IV,,160,,No info,Spherical,None,,Drugs,IO + DOX + Cu,Polymer,PEI + PAMAM self-assembly,0.15,,No info,No info,No info,No info,Xenograft heterotopic,Colon,2,100,,,,Liver,Kidney,Bladder,Magnetic Field + Chemotherapy,AMF,Theragnostics,,PET,0,12,100,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
21909083,Nat Nanotechnol,2011,10.1038/nnano.2011.149,Inorganic,Iron_oxide,Systemic,IV,Cells-labeled NPs,15.7,,No info,Spherical,Proteins,ZnO shell + carcinoembryonic antigen,,,Iron oxide,Core-shell NPs,,1 × 106 cells/mouse with 40 mg NPs/ml,No info,No info,No info,No info,Xenograft heterotopic,Other,1,82.82220513,,,,,,,Immunotherapy,,Theragnostics,,MR imaging,424.24,2469.7,82.82220513,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32076639,Sci Adv,2020,10.1126/sciadv.aax6040,Inorganic,Iron_oxide,Systemic,IV,,23,,No info,Spherical,Polymer-Drugs,OA + SDSPE-PEG + Cy7-NP41 + Propranolol,,,Iron oxide,,6,,No info,No info,No info,No info,Xenograft orthotopic,Prostate,1,#DIV/0!,,,,,,,Chemotherapy,,Theragnostics,,MPI + MRI,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32118400,ACS Appl Mater Interfaces,2020,10.1021/acsami.0c01762,Inorganic,Iron_oxide,Systemic,IV,,,100 nm diameter,No info,Other,Polymer,IO grafted peptide + polylysine + self-assembly with HA,,,Iron oxide,Nanofibers in combination with HA,100,,No info,No info,No info,No info,Allograft heterotopic,Other,5,93.94145677,21.11111111,17.77777778,16.11111111,Liver,Lung,Heart,Magnetic Field,AMF,Therapy,,None,0.89,14.69,93.94145677,,0.29,0.38,0.26,0.32,,0.23,,,,1.8,0,16.11111111,21.11111111,14.44444444,17.77777778,0,12.77777778,0,0,0
25655680,Adv Mater,2015,10.1002/adma.201405036,Inorganic,Iron_oxide,Local,Intratumoral,,70,,No info,Other,Polymer,mPEG,,,Iron oxide,IO nanorings,,"7,5 mg Fe/kG",No info,No info,No info,No info,Xenograft heterotopic,Breast,1,100,,,,,,,Magnetic Field,Magnetic field - Hyperthermia,Therapy,,None,0,24,100,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
25167961,Adv Mater,2014,10.1002/adma.201402509,Inorganic,Iron_oxide,Local,Intratumoral,Gel delivery,No info,,No info,Other,Other,pyrrolidone + IO,,,Polymer,PLGA liquid gel,,"50 μL, 40%",No info,No info,No info,No info,Xenograft heterotopic,Breast,1,#DIV/0!,,,,,,,Magnetic Field,Hyperthermia ,Theragnostics,,Ultrasound + CT,0,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
22378564,Adv Mater,2012,10.1002/adma.201104964,Inorganic,Iron_oxide,Systemic,IV,,50,,No info,Plate,Polymer,IO + C18PMH-PEG + 125I,,,Other,Graphene oxide nanosheets,20,,No info,5,21.4,No info,Allograft heterotopic,Breast,1,100,312.6637555,258.9519651,56.33187773,Liver,Spleen,Lung,Laser irradiation,PTT,Theragnostics,,Fluorescence + MRI + Photoacoustic,0,8,100,,1.25,14.32,11.86,2.58,,1.96,,2.11,,4.58,0,27.29257642,312.6637555,258.9519651,56.33187773,0,42.79475983,0,46.069869,0
22689346,Adv Mater,2012,10.1002/adma.201201251,Inorganic,Iron_oxide,Systemic,IV,,160,,No info,Spherical,Peptide,IVO24,Drugs,OA-coated IO localized in PVA + DOX + PTX,Polymer,PVA (SHELL) core-shell NPs,,2 WT.% in 100 uL,No info,No info,No info,No info,Xenograft heterotopic,Breast,1,100,,,,Liver,Kidney,Lung,Magnetic Field + Chemotherapy,high frequency MF - Hyperthermia + Magneto-Chemotherapy,Therapy,,None,0,8,100,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
31961656,ACS Nano,2020,10.1021/acsnano.9b08320,Inorganic,Iron_oxide,Systemic,IV,,223.2,,21,Plate,Polymer-peptides,IO + C18PMH-PEG + CREKA,,,Other,Graphene oxide nanosheets,3,,No info,No info,No info,No info,Allograft heterotopic,Breast,1,96.81680772,326.5306122,226.5306122,127.5510204,Spleen,Heart,Kidney,Magnetic Field,AMF  - Hyperthermia,Theragnostics,,MR imaging,44.12,1386.03,96.81680772,,177.6,82.4,256,,72.8,100,,,,78.4,0,226.5306122,105.1020408,326.5306122,0,92.85714286,127.5510204,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Without Iron oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28741689,Adv Mater,2017,10.1002/adma.201701146,Inorganic,Iron_oxide,Systemic,IV,,38.7,,,Spherical,Peptide,,,,Gold,Paramagnetic Gold NPs in the HBIV capsule,,"0,075 mg AU/kG",,,9,,Xenograft heterotopic,Breast,1,99.71272907,,,,,,,Magnetic Field,Hyperthermia,Theragnostics,,MR imaging,0.029,10.095,99.71272907,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
31618568,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b16237,Inorganic,Iron_oxide,Local,Intratumoral,,62.57,,,Spherical,Other,Ag2Se QDs + Er + RB + Nd3+/Yb3+,,,Polymer,OA,20,,,,,,Allograft heterotopic,Lung,1,79.6039604,,,,,,,Photodynamic (Photosensitizers),808 nm laser,Therapy,,,2.06,10.1,79.6039604,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
30452038,Nanoscale,2018,10.1039/c8nr05811c,Inorganic,Iron_oxide,Systemic,IV,,115,,-2,Spherical,Polymer,NaLuF4 + Ab + Radiolabel (Yb +Tm) + PEG,,,Other,lanthanide-doped rare-earth NPs,,9 mg Cd / kG,,,,,Xenograft heterotopic,Breast,,#DIV/0!,,,,liver,spleen,small intestine,,,Diagnostic,,Luminescence + SPECT,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
26196160,ACS Appl Mater Interfaces,2015,10.1021/acsami.5b06265,Inorganic,Iron_oxide,Systemic,IV,,160,,-27,Spherical,Polymer,PEG + Mn2+,,,Polymer,Polydopamine,12.5,,,,,,Allograft heterotopic,Breast,1,#DIV/0!,,,,,,,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
26047759,J Control Release,2015,10.1016/j.jconrel.2015.05.288,Inorganic,Iron_oxide,Systemic,IV,,1055,,,Other,Vitamins,des-octanoyl ghrelin + Folate,Drugs,LY364947 + DOX,Polymer,PEGGM-PDSGM microbubbles,,5 mg DOX/Kg,,,,,Allograft orthotopic,Brain,1,#DIV/0!,,,,,,,Ultrasound + Chemotherapy ,,Theragnostics,SPIONS used as control,MR imaging,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
22834680,ACS Appl Mater Interfaces,2012,10.1021/am3006466,Inorganic,Iron_oxide,Local,Intratumoral,Cells labeled NPs,9.1,,-22.1,Spherical,Polymer,PEG,,,Other,gadolinium oxide nanoparticles,,0.35 pg Gd/cell,,,,,Allograft orthotopic,Brain,1,#DIV/0!,,,,,,,,,Diagnostic,IO only used to comaparison,MR imaging,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In vitro studies /Reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24199694,ACS Appl Mater Interfaces,2013,10.1021/am4042367,Inorganic,Iron_oxide,,,,120,,,Spherical,Vitamins,Ascorbic acid - Vitamin,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
30397703,Nanoscale,2018,10.1039/c8nr05946b,Inorganic,Iron_oxide,,,,,,,,,Peptide,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
29508990,ACS Nano,2018,10.1021/acsnano.7b08995,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
21723891,J Control Release,2011,10.1016/j.jconrel.2011.06.004,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
30030447,Nat Commun,2018,10.1038/s41467-018-05305-2,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
26488074,ACS Nano,2015,10.1021/acsnano.5b05061,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,Coating of NPs with C3 - No therapy in vivo,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
30525392,ACS Appl Mater Interfaces,2019,10.1021/acsami.8b18451,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,In vitro analysis of different NPs Cating for MHF,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
26387745,J Control Release,2015,10.1016/j.jconrel.2015.09.029,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,Review,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
15626447,Biomaterials,2005,10.1016/j.biomaterials.2004.10.012,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,Review,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
23567046,J Control Release,2013,10.1016/j.jconrel.2013.03.018,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,Review,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
25504837,Small,2015,10.1002/smll.201402297,Inorganic,Iron_oxide,,,,580,,,Spherical,Polymer-Drugs,ptx + Tf +PEG +NIRF dye + silica,,,Iron oxide,,,,,,,,,,,#DIV/0!,,,,,,,,,,No therapy in vivo,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
24689973,ACS Nano,2014,10.1021/nn500454n,Inorganic,Iron_oxide,,,,,,,Spherical,Polymer-Proteins,Peptide + PEG + HfT protein,,,Iron oxide,,,,,,,,,,,#DIV/0!,,,,,,,,,,No therapy in vivo,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
20828811,Biomaterials,2010,10.1016/j.biomaterials.2010.08.039,Inorganic,Iron_oxide,,,,,,,,Drugs,Folic acid +Dox,Other,IO,Polymer,,,,,,,,,,,#DIV/0!,,,,,,,,,,No therapy in vivo,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
21940045,Biomaterials,2011,10.1016/j.biomaterials.2011.09.010,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,No therapy in vivo,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
25178258,Adv Mater,2014,10.1002/adma.201402296,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,Review,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
21605902,Biomaterials,2011,10.1016/j.biomaterials.2011.04.056,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,No therapy in vivo,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
21930108,Nanomedicine,2012,10.1016/j.nano.2011.08.017,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,Review,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
23551195,ACS Appl Mater Interfaces,2013,10.1021/am400572b,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,No therapy in vivo,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
21147502,Biomaterials,2011,10.1016/j.biomaterials.2010.11.053,Inorganic,Iron_oxide,Systemic,IV,,,,,Spherical,Polymer-mAb,PEG + Affibody,,,Iron oxide,,,200 pMol each mouse,,,,,Xenograft heterotopic,Ovary,1,#DIV/0!,,,,,,,,,,Only QD in vivo results,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
23835641,Nanoscale,2013,10.1039/c3nr32922d,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,No therapy in vivo,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
20228788,Nat Nanotechnol,2010,10.1038/nnano.2010.23,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,No therapy in vivo,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
22170574,Nanoscale,2012,10.1039/c1nr11540e,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,No therapy in vivo,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
21147500,Biomaterials,2011,10.1016/j.biomaterials.2010.11.035,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,No therapy in vivo,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
20958084,ACS Nano,2010,10.1021/nn101670k,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,No therapy in vivo,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
24241248,Nanoscale,2014,10.1039/c3nr03982j,Inorganic,Iron_oxide,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,No therapy in vivo,,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
