PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Size_(nm),Size details,Zeta_Potential_(mV),Shape,Coating,Coating details,Loading,Loading details,Core,Core details,Dose_(mg/kg),Dose_other data,IC50,Delivery_Efficiency_(%ID/g),Distribution Half-life_(h),Elimination Half-life_(h),Tumor_model,Cancer_type,No._Days_dosing,Tumor volume (control),Tumor volume (treated),Tumor_Vol_Reduction_(%),Tumor Accumulation,Muscle Accumulation,Muscle (%),Heart Accumulation,Heart (%),Liver Accumulation,Liver (%),Spleen Accumulation,Spleen (%),Lung Accumulation,Lung (%),Brain Accumulation,Brain (%),Kidney  Accumulation,Kidney (%),Bladder Accumulation,Bladder (%),Skin Accumulation,Skin (%),Intestine Accumulation,Colon (%),Stomach Accumulation,Stomach (%),Off_target_1_accumulation_(%),Off_target_1_accumulation,Off_target_2_accumulation_(%),Off_target_2_accumulation,Off_target_3_accumulation_(%),Off_target_3_accumulation,Study strategy,Therapy,Imaging,Notes
25542798,Biomaterials,2015,10.1016/j.biomaterials.2014.11.053,Inorganic,Gold,Systemic,IV,120,,,Other,None,,Other,NPAPF red dye + Gold nanoparticles,Polymer,"1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-[methoxy(polyethylene glycol)-2000] - (DSPE-PEG2000) micelles",,1 mg/ml (Fluorescence); 70 mg/ml (CT),,,,,Allograft heterotopic,Colon,1,,,,749.9,,,101.25,13.5,13991.84,1865.8,6400,853.4,149.99,20,37.49,5,120,16,,,,,90,12,,,1865.8,Liver,853.4,Spleen,20,Lung,Imaging,None,CT + Fluorescence,
30618237,ACS Appl Mater Interfaces,2019,10.1021/acsami.8b17533,Inorganic,Gold,Systemic,IV,424,,-19.6,Rod,Proteins-Drugs,Halloysite nanotubes + Doxorubicin + Bovine serum albumin + Folic acid,None,,Gold,,0.32 (Doxorubicin equivalent),,,,,,Allograft heterotopic,Breast,1,243.85,51.22,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photothermal + Chemotherapy,Thermal imaging,
27862808,Angew Chem Int Ed Engl,2016,10.1002/anie.201608338,Inorganic,Gold,Systemic,IV,570,,,Spherical,Polymer,PS107-b-PAA4,Other,Fluorescein isothiocyanate,Iron oxide,Gold and magnetic nanoparticles,,160 ug gols NPs + 20 ug magnetic NPs,,,,,Xenograft heterotopic,Brain,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imaging,None,MRI + Photoacoustic,
25554860,Nano Lett,2015,10.1021/nl5045378,Inorganic,Gold,Systemic,IV,100,,,Spherical,Other,Lipid bilayer,None,,Gold,,,"0.5 ug/ul, 30 ul",,0.003,,,Xenograft heterotopic,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photothermal therapy,Luminescence,
23643529,Nanomedicine,2013,10.1016/j.nano.2013.04.007,Inorganic,Gold,Local,Other,15,,,Spherical,None,,None,,Gold,,,"50 mg/ml, 250 ug gold",,,,,Xenograft orthotopic,Brain,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Radiotherapy,CT,
25924183,Nanoscale,2015,10.1039/c4nr05742b,Inorganic,Gold,Local,Other,,,,,Polymer-Proteins,PEG + Glucose + Biotin,siRNA,anti-cMyc siRNA,Gold,,,200 ug/ml,,,,,Xenograft orthotopic,Lung,1,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Gene therapy,CT + Fluorescence + Luminescence,
28134383,Nanoscale,2017,10.1039/c6nr08172j,Inorganic,Gold,Systemic,IV,61.51,,-8,Triangle,Polymer,PEG,None,,Gold,,2.7,,,,,,Xenograft heterotopic,Brain,1,5.73,4.22,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Radiotherapy,None,
25453970,Biomaterials,2015,10.1016/j.biomaterials.2014.10.007,Inorganic,Gold,Systemic,IV,39.9,,-19.3,Spherical,Polymer-Drugs,PEG + Angiopep-2 + Doxorubicin,None,,Gold,,2 (Doxorrubicin equivalent),,,,,,Xenograft orthotopic,Brain,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Chemotherapy,None,
26492976,Nanomedicine,2016,10.1016/j.nano.2015.09.012,Inorganic,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No in vivo studies
24055524,Biomaterials,2013,10.1016/j.biomaterials.2013.09.008,Inorganic,Gold,Systemic,IV,155,,-14.38,Spherical,Polymer-Drugs,Tumor necrosis factor + PEG + Paclitaxel,None,,Gold,,20,,2.39 ug,,,33.81,Xenograft heterotopic,Liver,,1.69,0.42,75.1,0.96,,,,,13.42,1397.92,,,,,,,,,,,,,,,,,1397.92,Liver,,,,,Therapy,Chemotherapy,None,
20183810,Small,2010,10.1002/smll.200901557,Inorganic,Gold,Systemic,IV,30-55,,,Other,Polymer,PEG,None,,Gold,Gold/gold sulfide,,"75 ul, 7.7x10^11 particles/ml",,,,,Allograft heterotopic,Colon,1,,,,44.21,6.67,15.1,,,60.35,136.5,387.83,877.2,12.28,27.8,0.7,1.6,,,,,,,,,,,877.2,Spleen,136.5,Liver,27.8,Lung,Therapy,Photothermal therapy,None,
23799860,ACS Nano,2013,10.1021/nn402201w,Inorganic,Gold,Systemic,IV,16,,-4,Spherical,Other,11-mercaptoundecanoic acid (HS-C10-C) and 10-mercaptodecyl)trimethylammoniumbromide (HS-C10-N4),None,,Gold,,,"0.2 ml, 100 ug Au",,,,,Xenograft heterotopic,Cervix,1,948.88,495.83,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photothermal therapy,None,
25771010,Biomaterials,2015,10.1016/j.biomaterials.2015.02.019,Inorganic,Gold,,,28,,,Spherical,Other,"Meso-2,3-dimercaptosuccinic acid + Gold nanoclusters",None,,Iron oxide,,Fe 30 mg/kg; Au 15 mg/kg,,,,,,Allograft orthotopic,Liver,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,None,MRI + CT,
24272951,Angew Chem Int Ed Engl,2014,10.1002/anie.201308494,Inorganic,Gold,Systemic,IV,9.4,,,Spherical,Polymer,a-methyl ether + w-thiol-terminated poly(ethylene glycol) + 64Cu,None,,Gold,,,"3.7 MBq (0.67 pmol) of NPs, 100 μL",,4.93,,,Allograft heterotopic,Breast,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,None,PET,
23219875,Nanomedicine,2013,10.1016/j.nano.2012.11.009,Inorganic,Gold,Systemic,IV,60,,,Other,Antibody,"Humanized single-chain
antibody conjugates (A33scFv) + Alexa Fluor® 750",None,,Iron oxide,Gold-iron oxide hybrid,,15 μL of NPs (1 mg/ml),,,,,Xenograft heterotopic,Colon,1,193,72,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photothermal therapy,MRI,
28323295,Nanoscale,2017,10.1039/c7nr01064h,Inorganic,Gold,Systemic,IV,3.93,,,Spherical,Vitamins,Folic acid,None,,Alloy,Gold cluster + Gadolinium oxide integrated NPs,,Gold concentration = 11.4 mM,,,,,Xenograft heterotopic,Cervix,1,,,,15.38,,,2.8,18.2,19.48,126.7,3.13,20.4,4.99,32.4,,,12.18,79.2,,,,,,,,,126.7,Liver,79.2,Kidney,32.4,Lung,Diagnostic,None,Fluorescence + MRI + CT,
23530622,ACS Nano,2013,10.1021/nn400223a,Inorganic,Gold,Systemic,IV,10,,-25,Spherical,Drugs,Doxorubicin,None,,Gold,,,5 μM Au + 200 μM Dox,,10.9,,,Allograft orthotopic,Skin,4,58.76,2.61,95.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photothermal + Chemotherapy,None,
27412458,Nanoscale,2016,10.1039/c6nr02618d,Inorganic,Gold,Systemic,IV,14,,-20,Spherical,Polymer,m-PEG,None,,Alloy,Gold-silver mixture,250 (Silver dose),,,5,,,Xenograft orthotopic,Breast,1,,,,5,,,3.92,78.4,5.05,101,18.28,365.6,2.99,59.8,,,3.09,61.8,,,,,,,,,365.6,Spleen,101,Liver,78.4,Heart,Diagnostic,None,Dual-energy mammography + CT,
23567046,J Control Release,2013,10.1016/j.jconrel.2013.03.018,Inorganic,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Review Article
23383982,ACS Nano,2013,10.1021/nn304332s,Inorganic,Gold,Systemic,IV,See size note,"16.3 (length), 13.6 (width)",,Other,Polymer,Poly(vinyl pyrrolidone),None,,Gold,,,200 ul,,7.2,,,Xenograft heterotopic,Breast,1,0.93,0.22,76.3,7.2,,,0.36,5,35.96,499.4,33.46,464.7,3.75,52.1,,,5,69.4,,,,,,,,,499.4,Liver,464.7,Spleen,52,Lung,,Photothermal therapy,,
23850099,Biomaterials,2013,10.1016/j.biomaterials.2013.06.041,Inorganic,Gold,Local,Intratracheal instillation,112,,-32.3,Spherical,Nucleic acids-peptides,PEG + mouse c-myc siRNA + Arginine-Glycine-Aspartic Acid peptide,None,,Gold,,,"0.3 pmol Au NPs, 50 ul",,,,,Allograft orthotopic,Lung,1,,,80-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Gene therapy,Luminescence,
24495038,J Am Chem Soc,2014,10.1021/ja412001e,Inorganic,Gold,Systemic,IV,22.8,,-18.6,Other,Polymer-peptide,cyclic c(RGDfC) peptide + PEG,None,,Alloy,Platinum cube in the center + 3 gold NPs forming a tripod,,"200 pmol/kg, 100-200 ul",,7.9,,2.29,Xenograft heterotopic,Brain,1,,,,7.9,0.55,7,5.25,66.5,15.85,200.6,6.85,86.7,1.75,22.2,,,4.45,56.3,,,,,3.45,43.7,,,20.6,Liver,86.7,Spleen,66.5,Heart,Imaging,None,PET + Photoacoustic,
26815933,ACS Nano,2016,10.1021/acsnano.5b07473,Inorganic,Gold,Systemic,IV,14.1,,-28.19,Spherical,Polymer,PEG,None,,Gold,,2.36,,,,,,Xenograft heterotopic,Cervix,1,3.22,0.21,93.5,152.21,,,98.19,64.5,196.39,129,412.44,271,132.57,87.1,171.58,112.7,228.31,150,137.48,90.3,,,,,,,271,Spleen,150,Kidney,129,Liver,Theragnostics,Radiotherapy,CT,
26271820,ACS Appl Mater Interfaces,2015,10.1021/acsami.5b06206,Inorganic,Gold,Systemic,IV,See size note,"11 nm (diameter), 42 nm (length)",-11.7,Rod,Nucleic acid,Folic acid + Cy5.5-labeled molecular beacon targeting miRNA-21,None,,Gold,,,"2 nM, 100 ul",,,,,Xenograft heterotopic,Cervix,1,890.66,52.06,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photothermal therapy,Fluorescence,
25888279,Nanomedicine,2015,10.1016/j.nano.2015.04.001,Inorganic,Gold,Local,Intratumoral,2.7,,-42,Spherical,Drugs,Doxorubicin,None,,Gold,,,"100 ul, 100 uM Doxorubicin",,,,,Xenograft orthotopic,Skin,1,542.52,103.61,80.9,75.51,0.99,1.3,2.24,3,73.01,96.7,7.2,9.5,5.46,7.2,0.49,0.6,66.06,87.5,,,,,,,,,96.7,Liver,87.5,Kidneys,9.5,Spleen,Therapy,Chemotherapy,None,
21272668,Nanomedicine,2011,10.1016/j.nano.2011.01.002,Inorganic,Gold,Local,Intratumoral,10,,,Other,Other,Gold,None,,Iron oxide,Iron,,1 mg NPs/ 100 mm3 of tumor,,,,,Allograft orthotopic,Oral,1,1362.98,557.69,59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Other,None,
25108151,J Control Release,2014,10.1016/j.jconrel.2014.07.054,Inorganic,Gold,Systemic,IV,90,,,Other,Polymer-peptide,PEG + poly(ε-caprolactone) + lipoic acid ester + cRGD peptide,Drugs,Doxorubicin,Gold,,7.5 (Doxorubicin equivalent),,6.2 ug Doxorubicin/ml,4.06,0.53,5.95,Xenograft heterotopic,Brain,4,21.45,0.89,95.9,4.06,,,1.54,37.9,3.69,90.9,1.73,42.6,2.62,64.5,,,2.71,66.7,,,,,,,,,90.9,Liver,66.7,Kidney,64.5,Lung,Therapy,Photothermal + Chemotherapy,None,
27449950,Biomaterials,2016,10.1016/j.biomaterials.2016.06.033,Inorganic,Gold,Local,Intratumoral,See size note,Diameter of branches = 7 nm,,Other,Polymer,PEG,None,,Gold,,,"200 ul, 5 mg/ml",,,,,Xenograft heterotopic,Breast,1,1435.4,63.08,95.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photothermal therapy,Thermal imaging,
29030225,J Control Release,2017,10.1016/j.jconrel.2017.10.009,Inorganic,Gold,Systemic,IV,200,,,Spherical,Polymer,PEG + Glycyrrhetinic acid,None,,Gold,,,"100 ul, [Au] = 0.14 M",,,,,Xenograft orthotopic,Liver,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imaging,None,CT,
28371376,Small,2017,10.1002/smll.201603990,Inorganic,Gold,Systemic,IV,215,,-47,Spherical,Nucleic acid,Gold shell + AS1411 and S2.2 aptamers,Other,Docetaxel + Ammonium bicarbonate,Polymer,Liposomes,5 (Docetaxel dose),,,,,,Xenograft heterotopic,Other,7,7.42,2.16,70.9,65810,,,3781,5.7,12773,19.4,8175,12.4,12773,19.4,,,15635,23.8,,,,,,,,,23.8,Kidney,19.4,Lung,19.4,Liver,Theragnostics,Photothermal + Chemotherapy,Ultrasound,
27244691,Biomaterials,2016,10.1016/j.biomaterials.2016.05.023,Inorganic,Gold,Systemic,IV,250,,,Rod,Polymer-peptide,7-(diethylamino)-4-(hydroxymethyl)-2H-chromen-2-one + b-cyclodextrins + cRGD peptide + PEG,Drugs,Doxorubicin,Gold,,5 (Doxorubicin dose),,,,,,Allograft heterotopic,Breast,1,12.94,1.69,86.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photothermal + Chemotherapy,None,
27064259,Nanoscale,2016,10.1039/c5nr08980h,Inorganic,Gold,,,77,,16,Spherical,Other,Gold shell,Other,"2-[7-(1,3-dihydro-
1,3,3-trimethyl-2H-indol-2-ylidene)-1,3,5-heptatrienyl]-1,3,3-trimethyl-3H-indolium iodide",Alloy,Gold/silver nanocage,,"100 ul, 1 nM",,,,,Allograft heterotopic,Lung,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,None,Raman,
28569328,Nanoscale,2017,10.1039/c7nr01077j,Inorganic,Gold,Systemic,IV,61.2,,-23.3,Spherical,Polymer-peptide,PEG + Phe-Ala-Leu-Gly-Glu-Ala + DTPA-Gd3+,None,,Gold,,,0.0.5 mmol Gd3+ /kg,,,,,Xenograft orthotopic,Brain,1,,,,33.44,,,11.8,35.3,435.71,1303,311.22,930.7,22.62,67.6,17.05,51,25.57,76.5,,,,,,,,,1303,Liver,930.7,Spleen,76.5,Kidney,Imaging,None,MRI + Raman,
22690722,ACS Nano,2012,10.1021/nn300464r,Inorganic,Gold,Systemic,IV,63.7,,10.2,Cube,Polymer,"PEG + 1,4,7,10-tetraazacyclododecane-1,4,7,10-tetraacetic acid mono(Nhydroxysuccinimide ester + 64Cu2+",None,,Gold,,,"23.8 fmol, 100 ul",,7.9,,,Allograft heterotopic,Breast,1,,,,7.9,0.37,4.7,1.43,18.1,42.96,543.8,30.63,387.7,2.24,28.4,,,3.71,47,,,0.57,7.2,3.63,45.9,1.18,14.9,543.8,Liver,387.7,Spleen,47,Kidney,Imaging,None,PET,
26731347,ACS Appl Mater Interfaces,2016,10.1021/acsami.5b09274,Inorganic,Gold,Systemic,IV,118,,-26,Spherical,Polymer-peptide,PEG + c(RGDyC)-peptide + Gd + 99 mTc,None,,Gold,,,2.5 mmol Au,,14.5,,,Xenograft heterotopic,Lung,1,472.96,41.36,91.3,14.5,0.75,5.2,0.75,5.2,24.88,171.6,49.88,344,4.38,30.2,,,15,103.4,,,,,1.37,9.4,3.25,22.4,344,Spleen,171.6,Liver,103.4,Kidney,Therapy,Radiotherapy,MRI + PET,
25123827,Small,2014,10.1002/smll.201401440,Inorganic,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Review Article
27590214,J Control Release,2016,10.1016/j.jconrel.2016.08.041,Inorganic,Gold,Systemic,IV,42,,-11.6,Spherical,Polymer-Nucleic acid,Poly(ethylene glycol)-block-poly(L-lysine) modified with lipoic acid at the ω-end + cyclic RGD peptide + papilloma virus-derived E6 oncogene siRNA,None,,Gold,,,20 ug siRNA/injection/mouse,,,,,Xenograft heterotopic,Cervix,3,9.66,3.58,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Gene therapy,None,
28992509,Biomaterials,2017,10.1016/j.biomaterials.2017.09.029,Inorganic,Gold,Local,Sub-cutaneous,91.1,,-5.57,Spherical,Antibody,Liposome + CD11c antibody + Monophosphoryl lipid A,Proteins, TRP2 peptide,Gold,,,100 ug peptide/mouse,,,,,Allograft orthotopic,Skin,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Immunotherapy,Fluorescence + Photoacoustic,
18817971,Biomaterials,2008,10.1016/j.biomaterials.2008.08.038,Inorganic,Gold,Local and systemic,IV and intratumoral,,,,,Vitamins,Hilyte-647 labeled hyaluronic acid,None,,Gold,,,"50-200 ul NPs, 1 pmol (intratumoral) or 10 pmol (intravenous)",,,,,Xenograft heterotopic,Ovary,1,,,,84.36,,,6.93,8.2,132.89,157.5,38.14,45.2,21.96,26,,,5.39,6.4,,,,,,,,,157.5,Liver,45.2,Spleen,26,Lung,Diagnostic,None,Fluorescence,
27731621,ACS Appl Mater Interfaces,2016,10.1021/acsami.6b06883,Inorganic,Gold,Systemic,IV,90,,,Spherical,Other,PEG + Indocyanine green (ICG)-loaded mesoporous silica nanoparticles,None,,Gold,,,,,,,,Xenograft heterotopic,Liver,1,1551.03,6.18,99.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photothermal therapy,CT + Fluorescence,
31748768,Nanoscale,2019,10.1039/c9nr06513j,Inorganic,Gold,Local,Intratumoral,105,,,Other,Polymer,PEG,None,,Alloy,MoS2 nanosheets + Gold nanostructures,2.5,,,,,,Allograft heterotopic,Breast,1,10.03,0.15,98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photothermal + Radiotherapy,CT + Photoacoustic,
28024382,ACS Nano,2016,10.1021/acsnano.6b05113,Inorganic,Gold,Systemic,IV,150.2,,-16.8,Spherical,Other,Gold shell,Drugs,Verteporfin,Polymer,Hyaluronan,,,,,,,Xenograft orthotopic,Breast,1,7.96,0,100,2.76,,,0.13,4.7,1.19,43.1,0.18,6.5,0.61,22.1,,,1.58,57.2,,,,,,,,,57.2,Kidney,43.1,Liver,22.1,Lung,Therapy,Photodynamic + Photothermal therapy,Fluorescence,
20835443,Nanoscale,2010,10.1039/c0nr00359j,Inorganic,Gold,Systemic,IV,2.7,,,,None,,None,,Gold,,,"2.35 mg/ml, 200 ul",,,,,Xenograft heterotopic,Breast,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imaging,None,Fluorescence,
24342728,Biomaterials,2014,10.1016/j.biomaterials.2013.11.068,Inorganic,Gold,Systemic,IV,143,,-9.44,Spherical,Polymer-mAb,Gold half-shell + PEG + anti-DR4 antibody,Drugs,Doxorubicin,Polymer,Poly(DL-lactic-co-glycolic acid) ,0.18 (Doxorubicin dosage),,,,,,Xenograft heterotopic,Colon,1,328.03,78.03,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photothermal + Chemotherapy,Fluorescence,
19344179,Nano Lett,2009,10.1021/nl900031y,Inorganic,Gold,Systemic,IV,20-100,,,Spherical,Polymer,m-PEG,None,,Gold,,,150 ul,,,,,Xenograft orthotopic,Skin,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,None,None,"The authors evaluated the effect of different NP sizes on tumor targeting ability and take general conclusions regarding a range of sizes, not regarding just one specific size"
23001862,Small,2013,10.1002/smll.201201779,Inorganic,Gold,Systemic,IV,120,120 nm corresponding to the edge lenght,,Other,Polymer,PEG,None,,Gold,,,"100 ul, 0.744 mg/ml",,,,,Xenograft heterotopic,Colon,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imaging,None,Optoacoustic Tomography,
27039688,ACS Appl Mater Interfaces,2016,10.1021/acsami.6b00853,Inorganic,Gold,Systemic,IV,90,,-20.8,Spherical,Other,Macrophage cell membrane,Other,Cyanine 7,Silica,Gold nanoshell coated-mesoporous silica NPs,,"150 ul, 3 mg/ml",,7.48,,,Allograft heterotopic,Breast,1,11.87,0.49,95.9,7.48,,,0.42,5.6,13.85,185.2,8.65,115.6,2.07,27.7,,,1.11,14.8,,,,,,,,,185.2,Liver,115.6,Spleen,27.7,Lung,Therapy,Photothermal therapy,Fluorescence,
26313344,Nanoscale,2015,10.1039/c5nr03119b,Inorganic,Gold,Systemic,IV,31.8,,-25.23,Spherical,Polymer-mAb,PEG + Anti-EGFR antibody (C225),None,,Gold,,300,"200 ul, 30 mg/ml",,5,,,Xenograft heterotopic,Other,1,,,,0.26,,,,,0.23,88.5,0.21,80.8,,,,,0.22,84.6,,,,,,,,,88.5,Liver,84.6,Kidney,80.8,Spleen,Theragnostics,Targeted therapy,CT,
20630586,Biomaterials,2010,10.1016/j.biomaterials.2010.06.031,Inorganic,Gold,Systemic,Other,,,,Spherical,Antibody,Anti-EGFR antibody (C225) + Vybrant DiI CM dye,None,,Gold,,,,,,,,Xenograft heterotopic,Prostate,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Targeted therapy,Fluorescence,"Human prostate cancer cells labeled with the gold NPs, inserted in Zebrafish"
28131043,Biomaterials,2017,10.1016/j.biomaterials.2017.01.021,Inorganic,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Review Article
24992365,ACS Nano,2014,10.1021/nn5027802,Inorganic,Gold,Local,Intramammary,48.6,,,Spherical,Other,Bisphosphonate,None,,Gold,,,10 mg/ml and 54 mg/ml,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,None,CT,This paper does not focus on cancer; instead it studies the use of gold NPs for the enhancement of breast microcalcifications
28816044,ACS Appl Mater Interfaces,2017,10.1021/acsami.7b09599,Inorganic,Gold,Systemic,IV,114,,-8,Spherical,Polymer-peptide,PEG + TAT peptide,None,,Gold,Gold nanospikes,,"100 ul, 400 ug/ml",,5.2,,,Xenograft heterotopic,Cervix,1,7.2,3.8,47.2,5.2,,,0.62,11.9,20.04,385.4,1.16,22.3,1.34,25.8,,,2.54,48.8,,,,,,,,,385.4,Liver,22.3,Spleen,48.8,Kidney,Therapy,Radiotherapy,None,
28094297,Nat Commun,2017,10.1038/ncomms14069,Inorganic,Gold,Systemic,Sub-cutaneous,2.8,,,Spherical,Peptide,11-mercapto-1-undecanesulfonate/1-octanethiol + SIINFEKL peptide,None,,Gold,,,300 ug,,,,,Allograft orthotopic,Skin,1,99.35,1.69,98.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Targeted therapy,None,
25909483,Nanoscale,2015,10.1039/c5nr01408e,Inorganic,Gold,Systemic,IV,188.2,,-4.32,Spherical,Peptide-Drugs,Doxorubicin + Cy5.5 + RRGD peptide,None,,Gold,Gold NPs fabricated onto MMP-2 degradable gelatin NPs,5 (Doxorubicin equivalent),,,,,,Xenograft orthotopic,Brain,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Chemotherapy,Fluorescence,
26306782,Angew Chem Int Ed Engl,2015,10.1002/anie.201506115,Inorganic,Gold,Systemic,IV,54.2,,,Spherical,Polymer,"L-a-phosphatidylcholine + L-a- phosphatidic acid + 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-[folate(polyethylene glycol)-2000]",None,,Alloy,Gold + Chitosan + Sodium alginate microcapsules,,300 ul,,7.66,,,Allograft heterotopic,Breast,1,1363.05,98.53,92.8,7.6,,,0.39,5.1,24.45,321.7,7.02,92.4,2.57,33.8,,,0.49,6.4,,,,,,,,,321.7,Liver,92.4,Spleen,33.8,Lung,Therapy,Photothermal therapy,Fluorescence,
27089478,ACS Appl Mater Interfaces,2016,10.1021/acsami.5b12329,Inorganic,Gold,Systemic,IV,510,,,Spherical,Polymer,Polydopamine,Other,Ionic liquids,Gold,,40,,,,,,Xenograft heterotopic,Liver,1,2199.4,4.49,99.8,13.93,,,5.84,41.9,3.85,27.6,7.83,56.2,48.56,348.6,,,2.39,17.2,,,,,,,,,348.6,Lung,56.2,Spleen,41.9,Heart,Therapy,Microwave thermal ablation,Photoacoustic,
31359757,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b09296,Inorganic,Gold,Systemic,IV,275,,39.6,Spherical,Other,Prussian blue shell + Cu2O shell + Poly-(allylamine)-modified black phosphorus quantum dots,None,,Gold,,,200 ul,,14.9,,,Xenograft heterotopic,Cervix,1,11.66,0.51,95.6,14.9,,,1.94,13,17.93,120.3,2.64,17.7,11.54,77.4,,,5.88,39.5,,,,,,,,,120.3,Liver,77.4,Lung,39.5,Kidney,Therapy,Photodynamic + Photothermal therapy,Fluorescence + MRI + Photoacoustic,
19914401,Nanomedicine,2010,10.1016/j.nano.2009.11.001,Inorganic,Gold,Local,Intratumoral,85,,-24.5,Spherical,Proteins,Gum arabic glycoprotein,,,Gold,198Au NPs,,30 ul,,19.9,,,Xenograft heterotopic,Prostate,1,0.86,0.15,82.6,19.9,,,,,0.91,4.6,,,,,,,0.13,0.7,,,,,0.09,0.5,,,4.6,Liver,0.7,Kidney,0.5,Intestine,Therapy,Radiotherapy,None,
24731706,Biomaterials,2014,10.1016/j.biomaterials.2014.03.065,Inorganic,Gold,Systemic,IV,80,,,Spherical,Other,Lipid,None,,Gold,,,,,,,,Allograft orthotopic,Skin,1,92.87,0.32,99.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photodynamic + Photothermal therapy,Fluorescence,
25450403,J Control Release,2014,10.1016/j.jconrel.2014.10.021,Inorganic,Gold,Local,Intratumoral,436.3,,-11.94,Spherical,Nucleic acid,DNA aptamer + Epidermal growth factor + BIM protein,None,,Gold,,,,,,,,Xenograft heterotopic,Cervix,1,1.51,0.94,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Targeted therapy,None,
23920038,J Control Release,2013,10.1016/j.jconrel.2013.07.020,Inorganic,Gold,Systemic,IV,42.5,,,Spherical,Polymer,PEG,Drugs,Doxorubicin,Gold,Hollow gold nanoshells,,"3.3x10^12 particles/ml, 200 ul",,,,,Xenograft heterotopic,Breast,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photothermal + Chemotherapy,Fluorescence + Photoacoustic,
22540892,ACS Nano,2012,10.1021/nn301282m,Inorganic,Gold,Systemic,IV,15-Feb,,Minus 23.8 to minus 35.3,Spherical,Drugs,Tiopronin,None,,Gold,,5 (Au content),,,,,,Xenograft heterotopic,Breast,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,None,None,
21277019,Biomaterials,2011,10.1016/j.biomaterials.2011.01.001,Inorganic,Gold,Local and systemic,Intraturmoral and IP,2.6,,,Spherical,Polymer,Acetylated 5 poly(amidoamine) dendrimer,None,,Gold,,,"0.2 M Au, 50 ul",,,,,Xenograft heterotopic,Lung,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imaging,None,CT,
